code,system
145..11,readv2
1454.00,readv2
D2...00,readv2
D212.00,readv2
D212000,readv2
D213.00,readv2
D21y200,readv2
D21y300,readv2
D2z..00,readv2
Q456.00,readv2
4234.00,readv2
4235.00,readv2
D0...00,readv2
D01..00,readv2
D014.00,readv2
D014000,readv2
D014z00,readv2
D01y.00,readv2
D01yy00,readv2
D01yz00,readv2
D01z.00,readv2
D0y..00,readv2
D0z..00,readv2
D00..11,readv2
D00..12,readv2
D00y100,readv2
D00z200,readv2
D01..11,readv2
D012112,readv2
D01z.11,readv2
D01z000,readv2
D012500,readv2
D21z.13,readv2
D013.00,readv2
D013z00,readv2
D21..00,readv2
D21y.00,readv2
D21yy00,readv2
D21yz00,readv2
D21z.00,readv2
D2y..00,readv2
Dyu2400,readv2
D014100,readv2
D01y000,readv2
D01y100,readv2
D210.00,readv2
D210100,readv2
D210200,readv2
D210z00,readv2
D210000,readv2
D21y000,readv2
D21y011,readv2
D21y012,readv2
Q455.00,readv2
Q455000,readv2
D210300,readv2
D210400,readv2
D21z.11,readv2
D211.00,readv2
D211.11,readv2
D21z.12,readv2
D214.00,readv2
D215.00,readv2
D215000,readv2
Dyu0.00,readv2
Dyu2200,readv2
Qyu5C00,readv2
100576.0,med
10506.0,med
11961.0,med
1702.0,med
19574.0,med
24953.0,med
25876.0,med
26327.0,med
28768.0,med
31248.0,med
3265.0,med
34934.0,med
35160.0,med
35749.0,med
37539.0,med
3942.0,med
3981.0,med
40750.0,med
4475.0,med
4670.0,med
4839.0,med
51169.0,med
51489.0,med
53799.0,med
539.0,med
56348.0,med
57274.0,med
58136.0,med
5833.0,med
58695.0,med
59103.0,med
71840.0,med
739.0,med
7841.0,med
797.0,med
8054.0,med
882.0,med
92106.0,med
99222.0,med
99494.0,med
104812.0,med
12176.0,med
15936.0,med
16052.0,med
16929.0,med
2452.0,med
25394.0,med
2743.0,med
30637.0,med
31040.0,med
31205.0,med
31550.0,med
33278.0,med
41699.0,med
43330.0,med
45929.0,med
47225.0,med
48145.0,med
53422.0,med
56752.0,med
62257.0,med
64601.0,med
70732.0,med
70835.0,med
71773.0,med
72276.0,med
94387.0,med
D53,icd10
D62,icd10
D63,icd10
D64,icd10